meian_0000.wav|この前探った時は、途中に瘢痕の隆起があったので、ついそこが行きどまりだとばかり思って、ああ云ったんですが、|kono mae sagut ta toki wa 、 tochu- ni hankon no ryu-ki ga at ta node 、 tsui soko ga yukidomari da to bakari omot te 、 a- yut ta n desu ga 、|8.77
meian_0001.wav|今日疎通を好くするために、そいつをがりがり掻き落して見ると、まだ奥があるんです」|kyo- sotsu- wo yoku suru tame ni 、 soitsu wo garigari kaki otoshi te miru to 、 mada oku ga aru n desu|7.48
meian_0002.wav|津田の顔には苦笑の裡に淡く盛り上げられた失望の色が見えた。医者は白いだぶだぶした上着の前に|tsuda no kao ni wa kusho- no ura ni awaku moriage rare ta shitsubo- no iro ga mie ta 。 isha wa shiroi dabudabu shi ta uwagi no mae ni|9.11
meian_0003.wav|両手を組み合わせたまま、ちょっと首を傾けた。その様子が「御気の毒ですが|ryo-te wo kumiawase ta mama 、 chotto kubi wo katamuke ta 。 sono yo-su ga go kinodoku desu ga|7.44
meian_0004.wav|津田は無言のまま帯を締め直して、椅子の背に投げ掛けられた袴を取り上げながらまた医者の方を向いた。|tsuda wa mugon no mama obi wo shime naoshi te 、 isu no se ni nagekake rare ta hakama wo toriage nagara mata isha no ho- wo mui ta 。|9.26
meian_0005.wav|「腸まで続いているとすると、癒りっこないんですか」「そんな事はありません」|cho- made tsuzui te iru to suru to 、 nao ri k ko nai n desu ka son'na koto wa ari mase n|5.7
meian_0006.wav|医者は活溌にまた無雑作に津田の言葉を否定した。併せて彼の気分をも否定するごとくに。|isha wa kappatsu ni mata mu zo-sa ni tsuda no kotoba wo hitei shi ta 。 awase te kare no kibun wo mo hitei suru gotoku ni 。|9.09
meian_0007.wav|「ただ今までのように穴の掃除ばかりしていては駄目なんです。それじゃいつまで経っても肉の上りこはないから、|tadaima made no yo- ni ana no so-ji bakari shi te i te wa dame na n desu 。 sore ja itsu made tat te mo niku no nobori ko wa nai kara 、|9.34
meian_0008.wav|「切開です。切開して穴と腸といっしょにしてしまうんです。すると|sekkai desu 。 sekkai shi te ana to cho- to issho ni shi te shimau n desu 。 suruto|6.15
meian_0009.wav|天然自然割かれた面の両側が癒着して来ますから、まあ本式に癒るようになるんです」|ten'nen shizen saka re ta men no ryo-gawa ga yuchaku shi te ki masu kara 、 ma- honshiki ni nao ru yo- ni naru n desu|7.68
meian_0010.wav|医者と懇意な彼は先刻診察所へ這入った時、物珍らしさに、それを覗かせて貰ったのである。|isha to kon'i na kare wa senkoku shinsatsu sho e haiit ta toki 、 mono chin rashi sa ni 、 sore wo nozoka se te morat ta no de aru 。|8.31
